"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XPOT",0.000120151322871133,0.642346291861347,0.051,0.07,1
"NT5C3B",0.000120182960253615,0.283486616352572,0.091,0.116,1
"ENTPD5",0.000120240321481949,1.44744014935896,0.021,0.012,1
"AC062017.1",0.000120251685214415,0.267381691144596,0.01,0.019,1
"FANCF",0.000120324139938466,0.255574468928268,0.017,0.027,1
"KIF20B",0.000120570845642553,1.31914150532687,0.05,0.037,1
"BLMH",0.000120641509880993,0.39882972316821,0.047,0.065,1
"CAP1",0.000120753160754295,0.104603845000102,0.496,0.633,1
"GCLM",0.000120935037884794,1.18908305636678,0.065,0.05,1
"GBE1",0.000121482933421943,1.14117681051451,0.077,0.061,1
"BMX",0.000121544532089551,1.85506135041928,0.013,0.006,1
"ZNFX1",0.000121595969035448,0.30313119378443,0.082,0.106,1
"RAB4A",0.00012230640880054,0.291143552975239,0.176,0.221,1
"PINX1",0.000122473912081726,0.306725966693565,0.039,0.055,1
"HBS1L",0.00012286560629297,0.432871217453966,0.067,0.089,1
"FAM92A1",0.000123572395441484,1.07086381531207,0.039,0.027,1
"KATNA1",0.000123626429152626,1.09794457049916,0.077,0.062,1
"FAM65B",0.000124896848466786,1.20752452723424,0.071,0.056,1
"AC011899.9",0.000124975109703684,1.25915701662904,0.012,0.005,1
"IFNAR1",0.000125082962664585,0.661548663550383,0.19,0.248,1
"RPS6KA4",0.000125104789501367,0.223356490469198,0.041,0.057,1
"C1orf35",0.000125125465983266,0.915736907663808,0.137,0.122,1
"LRR1",0.000125773866495489,0.231352612694209,0.029,0.043,1
"KHK",0.000126335335570019,0.612479224952193,0.023,0.035,1
"RNF7",0.000126399931098013,0.280187190433846,0.367,0.477,1
"NFIL3",0.000126441588098783,0.319465302123222,0.123,0.155,1
"KCNE4",0.000126646282171416,-1.14667677638513,0.007,0.014,1
